"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"H.R. 788",https://www.congress.gov/bill/105th-congress/house-bill/788,"105th Congress (1997-1998)","Firearms Safety and Violence Prevention Act of 1997",Democratic,02/13/1997
"S.Res. 133",https://www.congress.gov/bill/105th-congress/senate-resolution/133,"105th Congress (1997-1998)","A resolution expressing the sense of the Senate that every handgun sold in the United States should include a child safety device.",Democratic,10/09/1997
"H.Con.Res. 20",https://www.congress.gov/bill/105th-congress/house-concurrent-resolution/20,"105th Congress (1997-1998)","Expressing the sense of the Congress that the President should award a medal of honor to Wayne T. Alderson in recognition of acts performed at the risk of his life and beyond the call of duty while serving in the United States Army during World War II.",Democratic,02/12/1997
"S. 133",https://www.congress.gov/bill/105th-congress/senate-bill/133,"105th Congress (1997-1998)","Real Cost of Destructive Ammunition Act",Democratic,01/21/1997
"H.Con.Res. 285",https://www.congress.gov/bill/105th-congress/house-concurrent-resolution/285,"105th Congress (1997-1998)","Expressing the sense of the Congress that the President of the United States should reconsider his decision to be formally received in Tiananmen Square by the Government of the People's Republic of China.",Republican,06/03/1998
"H.R. 27",https://www.congress.gov/bill/105th-congress/house-bill/27,"105th Congress (1997-1998)","Citizens' Self-Defense Act of 1997",Republican,01/07/1997
"S. 707",https://www.congress.gov/bill/105th-congress/senate-bill/707,"105th Congress (1997-1998)","Concealed Weapons Prohibition Act of 1997",Democratic,05/06/1997
"H.Con.Res. 200",https://www.congress.gov/bill/105th-congress/house-concurrent-resolution/200,"105th Congress (1997-1998)","Expressing the sense of the Congress that a series of postage stamps should be issued in recognition of the recipients of the Congressional Medal of Honor.",Democratic,11/13/1997
"S. 2627",https://www.congress.gov/bill/105th-congress/senate-bill/2627,"105th Congress (1997-1998)","Firearms Safety and Consumer Protection Act of 1998",Democratic,10/12/1998
"S. 825",https://www.congress.gov/bill/105th-congress/senate-bill/825,"105th Congress (1997-1998)","Protect Children From Violence Act",Republican,06/03/1997
"S. 1533",https://www.congress.gov/bill/105th-congress/senate-bill/1533,"105th Congress (1997-1998)","Migratory Bird Treaty Reform Act",Democratic,11/13/1997
"H.R. 2494",https://www.congress.gov/bill/105th-congress/house-bill/2494,"105th Congress (1997-1998)","To authorize and request the President to award the Medal of Honor to James L. Cadigan, of Hingham, Massachusetts.",Democratic,09/18/1997
"S.Con.Res. 101",https://www.congress.gov/bill/105th-congress/senate-concurrent-resolution/101,"105th Congress (1997-1998)","A concurrent resolution expressing the sense of the Congress that the President of the United States should reconsider his decision to be formally received in Tiananmen Square by the Government of the People's Republic of China.",Republican,06/04/1998
"H.J.Res. 132",https://www.congress.gov/bill/105th-congress/house-joint-resolution/132,"105th Congress (1997-1998)","Commending the veterans of service in the Army who fought in the Battle of the Bulge during World War II, and for other purposes.",Republican,10/08/1998
"S. 10",https://www.congress.gov/bill/105th-congress/senate-bill/10,"105th Congress (1997-1998)","Violent and Repeat Juvenile Offender Act of 1997",Republican,01/21/1997
"S. 428",https://www.congress.gov/bill/105th-congress/senate-bill/428,"105th Congress (1997-1998)","Child Safety Lock Act of 1997",Democratic,03/12/1997
"H.R. 1047",https://www.congress.gov/bill/105th-congress/house-bill/1047,"105th Congress (1997-1998)","Child Safety Lock Act of 1997",Democratic,03/12/1997
"S. 534",https://www.congress.gov/bill/105th-congress/senate-bill/534,"105th Congress (1997-1998)","Handgun Safety Act of 1997",Democratic,04/09/1997
"H.R. 2863",https://www.congress.gov/bill/105th-congress/house-bill/2863,"105th Congress (1997-1998)","Migratory Bird Treaty Reform Act of 1998",Republican,11/06/1997
"H.R. 3954",https://www.congress.gov/bill/105th-congress/house-bill/3954,"105th Congress (1997-1998)","Consumer's Choice Protection Act of 1998",Republican,05/22/1998
"S. 1111",https://www.congress.gov/bill/105th-congress/senate-bill/1111,"105th Congress (1997-1998)","JUMP Ahead Act of 1997",Democratic,07/31/1997
"S. 1461",https://www.congress.gov/bill/105th-congress/senate-bill/1461,"105th Congress (1997-1998)","JUMP Ahead Act of 1997",Democratic,11/08/1997
"H.R. 2362",https://www.congress.gov/bill/105th-congress/house-bill/2362,"105th Congress (1997-1998)","Republican Form of Government Guarantee Act",Democratic,07/31/1997
"H.R. 2963",https://www.congress.gov/bill/105th-congress/house-bill/2963,"105th Congress (1997-1998)","JUMP Ahead Act of 1997",Democratic,11/08/1997
"H.R. 1745",https://www.congress.gov/bill/105th-congress/house-bill/1745,"105th Congress (1997-1998)","Forfeiture Act of 1997",Democratic,05/22/1997
"H.Res. 190",https://www.congress.gov/bill/105th-congress/house-resolution/190,"105th Congress (1997-1998)","Expressing the sense of the House of Representatives that Taiwan should be admitted to the World Trade Organization without making such admission conditional on the previous or simultaneous admission of the People's Republic of China to the WTO.",Republican,07/17/1997
"H.R. 3895",https://www.congress.gov/bill/105th-congress/house-bill/3895,"105th Congress (1997-1998)","21st Century Firearm Technology and Safety Act of 1998",Democratic,05/19/1998
"H.R. 3",https://www.congress.gov/bill/105th-congress/house-bill/3,"105th Congress (1997-1998)","Juvenile Crime Control Act of 1997",Republican,01/07/1997
"H.R. 1996",https://www.congress.gov/bill/105th-congress/house-bill/1996,"105th Congress (1997-1998)","Handgun Control Act of 1997",Democratic,06/19/1997
"H.R. 218",https://www.congress.gov/bill/105th-congress/house-bill/218,"105th Congress (1997-1998)","Community Protection Act of 1998",Republican,01/07/1997
"H.R. 4276",https://www.congress.gov/bill/105th-congress/house-bill/4276,"105th Congress (1997-1998)","Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1999",Republican,07/20/1998
"S. 1",https://www.congress.gov/bill/105th-congress/senate-bill/1,"105th Congress (1997-1998)","Safe and Affordable Schools Act of 1997",Republican,01/21/1997
"S. 1303",https://www.congress.gov/bill/105th-congress/senate-bill/1303,"105th Congress (1997-1998)","United States-China Relations Act of 1997",Democratic,10/21/1997
"H.R. 2646",https://www.congress.gov/bill/105th-congress/house-bill/2646,"105th Congress (1997-1998)","Education Savings and School Excellence Act of 1998",Republican,10/09/1997
"S. 2446",https://www.congress.gov/bill/105th-congress/senate-bill/2446,"105th Congress (1997-1998)","Drug-Free Neighborhoods Act",Republican,09/08/1998
"S. 2073",https://www.congress.gov/bill/105th-congress/senate-bill/2073,"105th Congress (1997-1998)","Juvenile Crime Control and Delinquency Prevention Act of 1998",Republican,05/13/1998
"S. 1083",https://www.congress.gov/bill/105th-congress/senate-bill/1083,"105th Congress (1997-1998)","United States-People's Republic of China National Security and Freedom Protection Act of 1997",Republican,07/29/1997
"S. 1590",https://www.congress.gov/bill/105th-congress/senate-bill/1590,"105th Congress (1997-1998)","Better Opportunities for Our Kids and Schools Act",Republican,01/29/1998
"S. 1164",https://www.congress.gov/bill/105th-congress/senate-bill/1164,"105th Congress (1997-1998)","China Policy Act of 1997",Republican,09/11/1997
"H.R. 2378",https://www.congress.gov/bill/105th-congress/house-bill/2378,"105th Congress (1997-1998)","Treasury and General Government Appropriations Act, 1998",Republican,08/06/1997
"S. 450",https://www.congress.gov/bill/105th-congress/senate-bill/450,"105th Congress (1997-1998)","National Defense Authorization Act for Fiscal Years 1998 and 1999",Republican,03/17/1997
"S. 1023",https://www.congress.gov/bill/105th-congress/senate-bill/1023,"105th Congress (1997-1998)","Treasury and General Government Appropriations Act, 1998",Republican,07/16/1997
"S. 2440",https://www.congress.gov/bill/105th-congress/senate-bill/2440,"105th Congress (1997-1998)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 1999",Republican,09/08/1998
"S. 1061",https://www.congress.gov/bill/105th-congress/senate-bill/1061,"105th Congress (1997-1998)","Departments of Labor, Health and Human Services, Education, and Related Agencies Appropriations Act, 1998",Republican,07/24/1997
"S. 2312",https://www.congress.gov/bill/105th-congress/senate-bill/2312,"105th Congress (1997-1998)","Treasury and General Government Appropriations Act, 1999",Republican,07/15/1998
"H.R. 4274",https://www.congress.gov/bill/105th-congress/house-bill/4274,"105th Congress (1997-1998)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 1999",Republican,07/20/1998
"H.R. 2264",https://www.congress.gov/bill/105th-congress/house-bill/2264,"105th Congress (1997-1998)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 1998",Republican,07/25/1997
"H.R. 1726",https://www.congress.gov/bill/105th-congress/house-bill/1726,"105th Congress (1997-1998)","Children's National Security Act",Democratic,05/22/1997
"H.R. 4328",https://www.congress.gov/bill/105th-congress/house-bill/4328,"105th Congress (1997-1998)","Omnibus Consolidated and Emergency Supplemental Appropriations Act, 1999",Republican,07/24/1998
"H.R. 3616",https://www.congress.gov/bill/105th-congress/house-bill/3616,"105th Congress (1997-1998)","Strom Thurmond National Defense Authorization Act for Fiscal Year 1999",Republican,04/01/1998
"S. 2264",https://www.congress.gov/bill/105th-congress/senate-bill/2264,"105th Congress (1997-1998)","A bill to revise, codify, and enact without substantive change certain general and permanent laws, related to patriotic and national observances, ceremonies, and organizations, as title 36, United States Code, ""Patriotic and National Observances, Ceremonies, and Organizations"".",Republican,07/06/1998
"H.R. 1085",https://www.congress.gov/bill/105th-congress/house-bill/1085,"105th Congress (1997-1998)","To revise, codify, and enact without substantive change certain general and permanent laws, related to patriotic and national observances, ceremonies, and organizations, as title 36, United States Code, ""Patriotic and National Observances, Ceremonies, and Organizations"".",Republican,03/17/1997
"S. 2260",https://www.congress.gov/bill/105th-congress/senate-bill/2260,"105th Congress (1997-1998)","Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1999",Republican,07/02/1998
"H.R. 1757",https://www.congress.gov/bill/105th-congress/house-bill/1757,"105th Congress (1997-1998)","Foreign Affairs Reform and Restructuring Act of 1998",Republican,06/03/1997
"S. 2060",https://www.congress.gov/bill/105th-congress/senate-bill/2060,"105th Congress (1997-1998)","Department of Defense Authorization Act for Fiscal Year 1999",Republican,05/11/1998
"H.R. 4104",https://www.congress.gov/bill/105th-congress/house-bill/4104,"105th Congress (1997-1998)","Treasury and General Government Appropriations Act, 1999",Republican,06/22/1998
"S. 2057",https://www.congress.gov/bill/105th-congress/senate-bill/2057,"105th Congress (1997-1998)","Strom Thurmond National Defense Authorization Act for Fiscal Year 1999",Republican,05/11/1998
"H.R. 2340",https://www.congress.gov/bill/105th-congress/house-bill/2340,"105th Congress (1997-1998)","To provide for mandatory prison terms for possessing, brandishing, or discharging a firearm or destructive device during a Federal crime that is a crime of violence or a drug trafficking crime.",Republican,07/31/1997
"S. 602",https://www.congress.gov/bill/105th-congress/senate-bill/602,"105th Congress (1997-1998)","Crime Control Act of 1997",Republican,04/17/1997
"H.R. 424",https://www.congress.gov/bill/105th-congress/house-bill/424,"105th Congress (1997-1998)","To provide for increased mandatory minimum sentences for criminals possessing firearms, and for other purposes.",Republican,01/09/1997
"H.R. 1119",https://www.congress.gov/bill/105th-congress/house-bill/1119,"105th Congress (1997-1998)","National Defense Authorization Act for Fiscal Year 1998",Republican,03/19/1997
"S. 3",https://www.congress.gov/bill/105th-congress/senate-bill/3,"105th Congress (1997-1998)","Omnibus Crime Control Act of 1997",Republican,01/21/1997
"H.R. 3652",https://www.congress.gov/bill/104th-congress/house-bill/3652,"104th Congress (1995-1996)","Junk Gun Violence Protection Act",Democratic,06/13/1996
"S. 1654",https://www.congress.gov/bill/104th-congress/senate-bill/1654,"104th Congress (1995-1996)","Junk Gun Violence Protection Act",Democratic,03/28/1996
"S. 890",https://www.congress.gov/bill/104th-congress/senate-bill/890,"104th Congress (1995-1996)","Gun-Free School Zones Act of 1995",Democratic,06/07/1995
"S.Res. 282",https://www.congress.gov/bill/104th-congress/senate-resolution/282,"104th Congress (1995-1996)","A resolution to designate October 10, 1996, as the ""Day of National Concern About Young People and Gun Violence"".",Democratic,07/24/1996
"H.R. 1608",https://www.congress.gov/bill/104th-congress/house-bill/1608,"104th Congress (1995-1996)","To amend title 18, United States Code, to ensure that the prohibitions against guns in school zones have the requisite nexus with interstate or foreign commerce.",Democratic,05/10/1995
"H.R. 659",https://www.congress.gov/bill/104th-congress/house-bill/659,"104th Congress (1995-1996)","To amend title 18, United States Code, to permit Federal firearms licensees to conduct firearms business with other such licensees at out-of-State gun shows.",Democratic,01/24/1995
