Date of Introduction,Sentiment Score
2017-07-27,1.0
2017-07-28,-0.9854
2017-09-01,1.0
2017-09-07,1.0
2017-09-14,-0.4342
2017-09-27,1.0
2017-10-04,0.9982
2017-10-05,0.6808
2017-10-10,0.3062
2017-10-19,0.9859
2017-10-25,-0.5994
2017-10-26,-0.9825
2017-10-31,-1.0
2017-11-03,0.9938
2017-11-07,-0.991
2017-11-08,-0.9999
2017-11-09,0.836
2017-11-13,0.9818
2017-11-16,0.9953
2017-11-27,-0.9879
2017-11-30,-0.2366
2017-12-06,-0.995
2017-12-07,-0.9972
2017-12-15,-0.7906
2018-01-18,-0.9972
2018-02-20,-0.9999
2018-02-26,-0.9999
2018-02-27,-0.9928
2018-03-01,0.9062
2018-03-05,1.0
2018-03-06,-0.9991
2018-03-07,0.998
2018-03-14,0.9873
2018-03-19,0.998
2018-03-22,0.9595
2018-03-26,-0.9999
2018-04-12,0.9907
2018-04-18,-0.9468
2018-04-27,-1.0
2018-05-11,1.0
2018-05-15,0.9907
2018-05-23,1.0
2018-05-24,1.0
2018-06-05,1.0
2018-06-06,-0.3594
2018-06-08,1.0
2018-06-12,-0.9898
2018-06-14,1.0
2018-06-19,1.0
2018-06-21,0.9864
2018-06-22,-0.9999
2018-06-26,-0.0772
2018-06-28,0.9978
2018-07-12,-0.9328
2018-07-23,1.0
2018-07-26,0.9759
2018-07-31,-0.986
2018-08-03,-0.872
2018-08-31,-0.9996
2018-09-07,-0.8798
2018-09-13,0.9349
2018-09-25,-0.9878
2018-09-26,1.0
2018-09-27,-0.8316
2018-10-05,0.9966
2018-10-30,-0.9926
2018-11-02,-0.6037
2018-11-27,1.0
2018-11-29,0.93
2018-12-06,0.9904
2018-12-11,0.9904
2018-12-12,-0.7579
2018-12-13,-0.9879
2019-01-02,-0.836
2019-01-03,0.7544
2019-01-08,0.7917
2019-01-09,-0.9999
2019-01-10,-0.9989
2019-01-15,-0.9999
2019-01-17,1.0
2019-01-18,-0.9726
2019-01-22,1.0
2019-01-23,-0.9904
2019-01-24,0.9898
2019-01-28,0.7242
2019-01-30,-0.9933
2019-01-31,0.9875
2019-02-04,0.9875
2019-02-05,-0.9968
2019-02-06,-0.0772
2019-02-08,1.0
2019-02-12,0.4205
2019-02-13,0.9943
2019-02-14,0.9807
2019-02-15,-0.9999
2019-02-25,-0.9973
2019-02-28,-1.0
2019-03-04,0.9497
2019-03-07,-0.8858
2019-03-11,-0.9664
2019-03-13,0.9811
2019-03-14,-0.0772
2019-03-25,1.0
2019-03-26,-0.8858
2019-03-27,0.9497
2019-04-09,0.3885
2019-04-10,0.9821
2019-04-11,1.0
2019-04-12,-1.0
2019-04-25,0.8668
2019-04-30,0.9998
2019-05-01,0.9759
2019-05-02,1.0
2019-05-07,-0.9997
2019-05-08,-0.9997
2019-05-09,0.9753
2019-05-10,-0.9968
2019-05-14,0.9081
2019-05-15,1.0
2019-05-16,0.8591
2019-05-21,-0.9726
2019-05-23,-0.9996
2019-06-03,0.9486
2019-06-04,0.9864
2019-06-10,-0.9821
2019-06-11,0.9062
2019-06-12,0.9295
2019-06-13,0.9953
2019-06-18,0.9984
2019-06-21,0.9893
2019-06-24,-0.9906
2019-06-25,0.9993
2019-06-27,-0.986
2019-06-28,0.9665
2019-07-25,-0.3902
2019-07-26,-0.984
2019-07-30,-0.9496
2019-07-31,0.5671
